rang,franska,ordklass,genus,svenska,mening_franska,mening_svenska,bonusord,notering
1,le / la / les,artikel,,bestämd artikel,"Le café, s'il vous plaît.","Kaffet, tack.",café (m) = kaffe; s'il vous plaît = tack (vid beställning),les = plural för båda genus
2,de,preposition,,"av, från",Je viens de Suède.,Jag kommer från Sverige.,je viens (av venir) = jag kommer,venir får egen plats på rang 54
3,un / une,artikel,,"en, ett","Un café et une bière, s'il vous plaît.","En kaffe och en öl, tack.",bière (f) = öl,"un = maskulint, une = feminint"
4,être,verb,,att vara,Je suis Jonas. Et vous ?,Jag är Jonas. Och ni?,,"je suis, tu es, il est, nous sommes, vous êtes, ils sont"
5,et,konjunktion,,och,Jessica et Kalle sont ici.,Jessica och Kalle är här.,ici = här,t:et i et uttalas aldrig
6,à,preposition,,"till, i, på",Je suis à Paris.,Jag är i Paris.,,à + stad
7,il,pronomen,,"han, den",Il est là.,Han är där.,là = där,
8,avoir,verb,,att ha,J'ai un fils.,Jag har en son.,fils (m) = son,"j'ai, tu as, il a, on a, vous avez; fils uttalas [fiss]"
9,ne ... pas,adverb,,inte,Je ne suis pas français.,Jag är inte fransk.,"français = fransk, franska",i talspråk faller ne ofta bort: je suis pas
10,je,pronomen,,jag,Je m'appelle Jonas.,Jag heter Jonas.,s'appeler = att heta,je blir j' före vokal
11,son / sa / ses,pronomen,,"hans, hennes, sin","Son papa, c'est moi !","Hans pappa, det är jag!",papa (m) = pappa; moi = jag (betonat),"genus följer substantivet, inte ägaren"
12,que,konjunktion/pronomen,,"att, som, vad",Qu'est-ce que c'est ?,Vad är det här?,,lär hela frasen som ett block: [käskösä]
13,se,pronomen,,sig,Il s'appelle Kalle.,Han heter Kalle.,,
14,qui,pronomen,,"vem, som",Qui est-ce ?,Vem är det?,,
15,ce / c',pronomen,,"det, den här",C'est bon !,Det är gott!,"bon = god, bra",c'est = franskans mest använda ordpar
16,dans,preposition,,i,Je suis dans le train pour Paris.,Jag sitter på tåget till Paris.,train (m) = tåg,
17,en,preposition,,"i, på",Je suis en France !,Jag är i Frankrike!,,en + de flesta länder
18,du,artikel,,lite av (partitiv),"Du vin, s'il vous plaît.","Lite vin, tack.",vin (m) = vin – gratisord!,du = de + le
19,elle,pronomen,,"hon, den",Elle s'appelle Jessica.,Hon heter Jessica.,,
20,au,artikel,,"till, på (à + le)",On va au restaurant ?,Ska vi gå på restaurang?,restaurant (m) = restaurang,
21,pour,preposition,,"för, till","Pour moi, un dessert. Et pour vous ?",Till mig en dessert. Och till er?,dessert (m) = dessert – gratisord!,
22,pas,adverb,,inte (talspråk),"Pas pour moi, merci.","Inte till mig, tack.",merci = tack,
23,vous,pronomen,,"ni, er",Vous êtes français ?,Är ni fransk?,,artigt tilltal till okända
24,par,preposition,,"genom, via","Par ici, s'il vous plaît.","Den här vägen, tack.",,
25,sur,preposition,,på,Je suis sur Instagram et sur TikTok.,Jag finns på Instagram och TikTok.,,
26,faire,verb,,att göra,Qu'est-ce que vous faites ?,Vad gör ni?,,"je fais, tu fais, on fait, vous faites"
27,plus,adverb,,"mer, fler","Une minute de plus, s'il vous plaît.","En minut till, tack.",minute (f) = minut – gratisord!,uttalas [plyss] eller [ply] beroende på betydelse
28,dire,verb,,att säga,Comment dit-on « fika » en français ?,Hur säger man fika på franska?,comment = hur,projektets nyckelfras
29,me,pronomen,,mig,Vous me comprenez ?,Förstår ni mig?,comprendre = att förstå,comprendre får egen plats på rang 69
30,on,pronomen,,man; vi (talspråk),On y va ?,Ska vi dra?,,talspråkets vi – vanligare än nous
31,mon / ma / mes,pronomen,,"min, mitt, mina","C'est mon fils, Kalle.",Det här är min son Kalle.,,
32,lui,pronomen,,"han, honom (betonat)","Lui, c'est Kalle.",Det där är Kalle.,,när du pekar eller visar bilder
33,nous,pronomen,,"vi, oss",Nous sommes suédois.,Vi är svenskar.,suédois = svensk,
34,comme,konjunktion,,"som, liksom",C'est comme en Suède.,Det är som i Sverige.,,
35,mais,konjunktion,,men,"C'est petit, mais c'est bon !","Det är litet, men det är gott!",petit = liten,s:et i mais är tyst: [mä]
36,pouvoir,verb,,att kunna,Est-ce que je peux avoir le menu ?,Kan jag få menyn?,menu (m) = meny – gratisord!,"je peux, tu peux, vous pouvez"
37,avec,preposition,,med,"Un café avec du lait, s'il vous plaît.","En kaffe med mjölk, tack.",lait (m) = mjölk,
38,tout,pronomen/adjektiv,,"allt, hela","C'est tout, merci.","Det var allt, tack.",,
39,y,pronomen,,"där, dit",J'y vais !,Nu drar jag!,,
40,aller,verb,,"att gå, åka",Je vais à Paris.,Jag åker till Paris.,,"je vais, tu vas, on va, vous allez"
41,ça,pronomen,,"det, det där (talspråk)",Ça va ?,Läget? / Hur är det?,,vanligaste hälsningsfrågan; svar: Ça va !
42,oui,interjektion,,ja,"Oui, c'est ça !","Ja, precis!",,"c'est ça = precis, just det"
43,non,interjektion,,nej,"Non merci, ça va.","Nej tack, det är bra.",,artigt nej
44,bien,adverb,,"bra, väl","Ça va bien, merci. Et vous ?","Det går bra, tack. Och ni?",,
45,très,adverb,,"mycket, väldigt",C'est très bon !,Det är jättegott!,,s:et tyst: [trä]
46,tu,pronomen,,du,Tu vas bien ?,Mår du bra?,,"tu till vänner, familj, barn; vous till okända"
47,vouloir,verb,,att vilja,"Je voudrais un café, s'il vous plaît.","Jag skulle vilja ha en kaffe, tack.",,"je voudrais = artig fast fras; je veux, tu veux"
48,où,adverb,,"var, vart",C'est où ?,Var ligger det?,,talspråk lägger frågeordet sist
49,si,konjunktion,,om; jo,"Si tu veux, on va au restaurant.",Om du vill går vi på restaurang.,,si = även jo som svar på negativ fråga
50,savoir,verb,,att veta,Je ne sais pas.,Jag vet inte.,,talspråk: j'sais pas [schäpa]
51,ou,konjunktion,,eller,Tu veux une glace ou un chocolat ?,Vill du ha en glass eller en choklad?,glace (f) = glass; chocolat (m) = choklad – gratisord!,un chocolat på café = varm choklad; ou/où uttalas likadant
52,aussi,adverb,,också,Moi aussi !,Jag också!,,
53,voir,verb,,att se,On va voir !,Vi får se!,,aller + infinitiv = ska (futur proche)
54,venir,verb,,att komma,Tu viens avec nous ?,Följer du med oss?,,"je viens, tu viens, vous venez"
55,quand,adverb,,när,Tu viens quand ?,När kommer du?,,
56,bon,adjektiv,,"bra, god","Bon, on y va ?","Nåväl, ska vi dra?",,ny användning: samtalsmarkör
57,quoi,pronomen,,vad (talspråk),"C'est quoi, ça ?",Vad är det där?,,Quoi ? ensamt = Va?
58,merci,interjektion,,tack,Merci pour tout !,Tack för allt!,,
59,autre,adjektiv,,"annan, annat","Un autre café, s'il vous plaît.","En kaffe till, tack.",,"påtår, sätt 2"
60,devoir,verb,,måste,Je dois y aller.,Jag måste dra.,,"je dois, tu dois; viktigaste exitfrasen"
61,parler,verb,,att prata,Je parle un peu français.,Jag pratar lite franska.,un peu = lite,din mest sagda mening vecka 1
62,prendre,verb,,att ta,Je prends le train pour Paris.,Jag tar tåget till Paris.,,"je prends, tu prends, on prend; även beställning: Je prends un café"
63,aimer,verb,,"att gilla, älska",J'aime la France !,Jag älskar Frankrike!,,aimer + person = älska; aimer bien = gilla
64,temps,substantiv,m,tid; väder,Je n'ai pas le temps.,Jag har inte tid.,,"uttal [tã], ps tyst; betyder även väder"
65,jour,substantiv,m,dag,Bonjour ! Ça va ?,Goddag! Läget?,,bonjour = bon + jour
66,chose,substantiv,f,sak,J'ai une chose à dire.,Jag har en sak att säga.,,
67,peu,adverb,,"lite, få","Un peu de lait, s'il vous plaît.","Lite mjölk, tack.",,un peu de + substantiv
68,maintenant,adverb,,nu,On y va maintenant ?,Ska vi dra nu?,,
69,comprendre,verb,,att förstå,Je ne comprends pas.,Jag förstår inte.,,"överlevnadsfras nr 1; je comprends, vous comprenez"
70,déjà,adverb,,redan,Je comprends déjà un peu.,Jag förstår redan lite.,,
71,alors,adverb,,"då, nå, alltså","Alors, on y va ?","Nå, ska vi dra?",,samtalsmarkör som köper tanketid
72,après,preposition/adverb,,"efter, sen",On va au restaurant après ?,Ska vi gå på restaurang sen?,,Et après ? = Och sen?
73,beaucoup,adverb,,mycket,Merci beaucoup !,Tack så mycket!,,p:et är tyst
74,encore,adverb,,"till, igen, fortfarande",Encore un café ?,En kaffe till?,,"påtår, sätt 3 – det vanligaste"
75,jamais,adverb,,aldrig,Je ne dis jamais non à un café.,Jag säger aldrig nej till en kaffe.,,ne ... jamais = aldrig
76,toujours,adverb,,alltid; fortfarande,C'est toujours comme ça.,Det är alltid så.,,
77,rien,pronomen,,ingenting,De rien !,Ingen orsak!,,standardsvar på merci; ne ... rien
78,ici,adverb,,här,Vous êtes d'ici ?,Är ni härifrån?,,d'ici = härifrån
79,penser,verb,,"att tänka, tycka",Je pense que oui.,Jag tror det.,,je pense que non = jag tror inte det
80,donner,verb,,att ge,"Vous pouvez me donner ça, s'il vous plaît ?","Kan ni ge mig den där, tack?",,mönster: Vous pouvez me + infinitiv ?
81,avant,preposition/adverb,,"före, innan",On prend une photo avant ?,Ska vi ta en bild innan?,photo (f) = foto – gratisord!,prendre une photo = ta en bild
82,falloir (il faut),verb,,"behövas, man måste",Il faut y aller !,Vi måste dra!,,il faut + infinitiv; finns bara i il-form
83,trop,adverb,,för (mycket); jätte-,C'est trop bon !,Det är sjukt gott!,,talspråkets förstärkare; p tyst
84,demain,adverb,,imorgon,À demain !,Vi ses imorgon!,,"à + tid = vi ses: à demain, à plus"
85,aujourd'hui,adverb,,idag,Qu'est-ce qu'on fait aujourd'hui ?,Vad ska vi göra idag?,,
86,an,substantiv,m,år,Kalle n'a pas encore un an.,Kalle är inte ett år än.,,ålder med avoir: J'ai 30 ans = jag är 30
87,connaître,verb,,att känna (till),Vous connaissez Alingsås ?,Känner ni till Alingsås?,,"je connais, vous connaissez"
88,croire,verb,,att tro,Tu crois ?,Tror du?,,je crois que oui / que non
89,petit,adjektiv,,liten,Un petit café ?,En liten kaffe?,,gulligt förminskningsord – används överallt
90,grand,adjektiv,,stor,C'est un grand jour !,Det är en stor dag!,,d:et hörs först i feminin form: grande
91,mettre,verb,,"att lägga, sätta",Je mets de la musique ?,Ska jag sätta på musik?,musique (f) = musik – gratisord!,"je mets, tu mets; de la = feminin partitiv (som du)"
92,vie,substantiv,f,liv,C'est la vie !,Sånt är livet!,,gratispoäng – den kunde du redan
93,enfant,substantiv,m,barn,"On a un enfant, il s'appelle Kalle.","Vi har ett barn, han heter Kalle.",,
94,femme,substantiv,f,kvinna; fru,"La femme de ma vie, c'est Jessica.",Mitt livs kvinna är Jessica.,,"uttal [famm]; sambo/flickvän = compagne, copine"
95,homme,substantiv,m,"man, människa",C'est un homme bien.,Det är en bra människa.,,tyst h; liaison: un homme [önnåmm]
96,monde,substantiv,m,värld; folk,Tout le monde aime Kalle !,Alla älskar Kalle!,,tout le monde = alla
97,fois,substantiv,f,gång,"Encore une fois, s'il vous plaît !","En gång till, tack!",,räddningsfrasen när du inte hänger med
98,nouveau,adjektiv,,ny,C'est nouveau pour moi.,Det är nytt för mig.,,"maskulint nouveau, feminint nouvelle"
99,trouver,verb,,att hitta; tycka,Je trouve ça très bien.,Jag tycker att det är jättebra.,,je trouve ça ... = jag tycker det är ...
100,manger,verb,,att äta,On va manger ?,Ska vi käka?,,futur proche igen: aller + infinitiv
101,même,adjektiv/adverb,,samma; till och med; själv,C'est toujours la même chose.,Det är alltid samma sak.,,moi-même = jag själv; même toi = till och med du
102,puis,adverb,,"sedan, sen","Un café, puis on y va.","En kaffe, sen drar vi.",,berättandets sen: puis ... puis ...
103,donc,konjunktion,,"alltså, så","Donc, tu viens ou pas ?","Så, kommer du eller inte?",,uttal [dånk]; samtalsmarkör
104,vraiment,adverb,,verkligen,C'est vraiment très bon !,Det är verkligen jättegott!,,Vraiment ? = Jaså? / Verkligen?
105,peut-être,adverb,,kanske,Peut-être demain.,Kanske imorgon.,,ordagrant peut + être = kan-vara – två ord du redan kan
106,bien sûr,adverb,,"såklart, självklart",Bien sûr que oui !,Såklart!,sûr = säker,
107,pourquoi,adverb,,varför,Pourquoi pas ?,Varför inte?,,pour + quoi = för vad
108,parce que,konjunktion,,"därför att, för att",Parce que j'aime ça !,För att jag gillar det!,,svaret på pourquoi; talspråk: [passkö]
109,combien,adverb,,"hur mycket, hur många",C'est combien ?,Vad kostar det?,,köpfras nr 1
110,comment,adverb,,hur,Comment tu t'appelles ?,Vad heter du?,,artigt: Comment vous vous appelez ?
111,toi,pronomen,,du (betonat),Et toi ?,Och du (då)?,,paret moi/toi håller igång alla samtal
112,ton / ta / tes,pronomen,,"din, ditt, dina",C'est ton idée ?,Är det din idé?,idée (f) = idé – gratisord!,
113,votre / vos,pronomen,,"er, ert, era",C'est votre fils ?,Är det er son?,,
114,notre / nos,pronomen,,"vår, vårt, våra",Notre fils s'appelle Kalle.,Vår son heter Kalle.,,
115,leur / leurs,pronomen,,deras,Leurs enfants sont grands.,Deras barn är stora.,,leur = även dem (indirekt objekt) – mer senare
116,quelque chose,pronomen,,"något, någonting",Tu veux quelque chose ?,Vill du ha något?,,talspråk: [käkschos]
117,quelqu'un,pronomen,,någon,Il y a quelqu'un ?,Är det någon där?,,"il y a = det finns – franskans viktigaste konstruktion, av ord du redan kan (il + y + a)"
118,chaque,adjektiv,,varje,"Chaque jour, un peu de français.","Varje dag, lite franska.",,projektets motto
119,deux,räkneord,,två,"Deux cafés, s'il vous plaît.","Två kaffe, tack.",,"lär 1–10 som block: un, deux, trois, quatre, cinq, six, sept, huit, neuf, dix"
120,sans,preposition,,utan,"Un café sans lait, s'il vous plaît.","En kaffe utan mjölk, tack.",,motsatsen till avec; s tyst: [sã]
121,chez,preposition,,"hos, hemma hos",On mange chez nous ?,Ska vi äta hemma hos oss?,,chez moi = hemma; unikt franskt ord
122,heure,substantiv,f,timme; klockslag,Il est quelle heure ?,Vad är klockan?,quelle = vilken,svar: Il est deux heures; h tyst
123,moment,substantiv,m,"stund, ögonblick","Un moment, s'il vous plaît !","Ett ögonblick, tack!",,
124,matin,substantiv,m,morgon,"Le matin, je prends un grand café.",På morgonen tar jag en stor kaffe.,,le matin = på morgnarna (generellt)
125,soir,substantiv,m,kväll,À ce soir !,Vi ses ikväll!,,samma mönster som à demain
126,nuit,substantiv,f,natt,Bonne nuit !,God natt!,,bonne = feminin form av bon; sägs till Kalle varje kväll
127,semaine,substantiv,f,vecka,"Une semaine en France, c'est bien !","En vecka i Frankrike, det är fint!",,
128,mois,substantiv,m,månad,Un mois pour parler français !,En månad för att prata franska!,,hela projektet i en mening; pour + infinitiv = för att; uttal [moa]
129,depuis,preposition,,sedan (tidpunkt),Je parle français depuis deux jours !,Jag har pratat franska i två dagar!,,franska: presens + depuis där svenskan har perfekt
130,pendant,preposition,,under (tid),Je fais ça pendant un mois.,Jag gör det här i en månad.,,
131,monsieur,substantiv,m,"herr, herrn","Merci, monsieur !","Tack, herrn!",,uttal [mössjö]; plural: messieurs
132,madame,substantiv,f,"fru, frun","Bonjour, madame !","Goddag, frun!",,säg alltid bonjour monsieur/madame i butiker – viktigaste artighetsregeln
133,famille,substantiv,f,familj,C'est ma famille : Jessica et Kalle.,Det här är min familj: Jessica och Kalle.,,
134,père,substantiv,m,"far, pappa",Je suis le père de Kalle.,Jag är Kalles pappa.,,ägande med de: pappan AV Kalle
135,mère,substantiv,f,"mor, mamma","Jessica, c'est la mère de Kalle.",Jessica är Kalles mamma.,,
136,ami / amie,substantiv,m/f,vän,C'est un ami de la famille.,Det är en vän till familjen.,,"varning: petit ami = pojkvän, petite amie = flickvän"
137,maison,substantiv,f,"hus, hem",On mange à la maison ?,Ska vi äta hemma?,,à la maison = hemma
138,ville,substantiv,f,stad,"Alingsås, c'est une petite ville.",Alingsås är en liten stad.,,
139,pays,substantiv,m,land,"La Suède, c'est un grand pays.",Sverige är ett stort land.,,uttal [pä-i]; ditt 196-länder-ord
140,nom,substantiv,m,namn,"C'est quoi, ton nom ?",Vad heter du? (ordagrant: vad är ditt namn),,talspråksvarianten av comment tu t'appelles
141,eau,substantiv,f,vatten,"De l'eau, s'il vous plaît.","Lite vatten, tack.",,uttalas bara [å]; feminint undantag från -eau-regeln – palatstest; du/de la blir de l' före vokal
142,habiter,verb,,att bo,"J'habite à Alingsås, en Suède.","Jag bor i Alingsås, i Sverige.",,h tyst: [schabitt]
143,travailler,verb,,att jobba,Je travaille avec la mémoire.,Jag jobbar med minnet.,la mémoire (f) = minne,ditt viktigaste substantiv smyger in här
144,regarder,verb,,att titta (på),"Regarde, Kalle !","Titta, Kalle!",,"regarde ! = titta! (uppmaning, du-form)"
145,écouter,verb,,att lyssna (på),J'écoute beaucoup de français.,Jag lyssnar på mycket franska.,,"beaucoup de + substantiv, som un peu de"
146,attendre,verb,,att vänta,"Attendez, s'il vous plaît !","Vänta, tack!",,"attends (du-form), attendez (ni-form)"
147,arriver,verb,,att komma (fram); hända,J'arrive !,Jag kommer!,,fransmännens favoritsvar när någon väntar
148,partir,verb,,"att åka iväg, ge sig av",On part demain.,Vi åker imorgon.,,"je pars, tu pars, on part"
149,rester,verb,,att stanna,On reste ici ce soir.,Vi stannar här ikväll.,,falsk vän: betyder INTE vila (= se reposer)
150,demander,verb,,"att fråga, be om",Je peux demander quelque chose ?,Får jag fråga en sak?,,falsk vän: INTE kräva (eng. demand)
151,quel / quelle,adjektiv,,"vilken, vilket",Quelle bonne idée !,Vilken bra idé!,,utropsmönster: Quel(le) + adjektiv + substantiv !
152,d'accord,uttryck,,okej; överens,"D'accord, on fait comme ça !","Okej, vi gör så!",,je suis d'accord = jag håller med
153,voilà,uttryck,,här är; sådär; precis,Voilà mon fils !,Här är min son!,,"universalord: räcka fram ngt, avsluta ngt, hålla med"
154,apprendre,verb,,att lära sig,J'apprends le français en un mois.,Jag lär mig franska på en månad.,,"PROJEKTMENINGEN; j'apprends, tu apprends – släkt med prendre"
155,mot,substantiv,m,ord,J'aime les mots !,Jag älskar ord!,,jeu de mots = ordvits – ditt SM-ord; t tyst: [må]
156,langue,substantiv,f,språk; tunga,J'apprends une nouvelle langue.,Jag lär mig ett nytt språk.,,
157,question,substantiv,f,fråga,J'ai une question !,Jag har en fråga!,,gratisord via engelskan; Bonne question ! = Bra fråga!
158,problème,substantiv,m,problem,Pas de problème !,Inga problem!,,gratisord! pas de + substantiv = ingen/inga; maskulint trots -e
159,vrai,adjektiv,,"sann, sant",C'est vrai ?,Är det sant?,,C'est pas vrai ! = Det är inte sant! / Nä!
160,juste,adverb/adjektiv,,bara; rätt; precis,Juste un moment !,Bara ett ögonblick!,,"talspråkets bara, som engelskans just"
161,personne,substantiv,f,person,C'est une personne très intéressante.,Det är en väldigt intressant person.,intéressant = intressant – gratisord!,ne ... personne = ingen (dubbelroll)
162,gens,substantiv,m,"folk, människor",Les gens sont super ici.,Folket är toppen här.,super = super – gratisord!,alltid plural
163,bébé,substantiv,m,bebis,"Kalle, c'est notre bébé.",Kalle är vår bebis.,,"gratisord! alltid maskulint, även för flickor"
164,fille,substantiv,f,flicka; dotter,Vous avez une fille ?,Har ni en dotter?,,uttal [fij]; betyder både flicka och dotter
165,garçon,substantiv,m,pojke,Kalle est un grand garçon maintenant !,Kalle är en stor pojke nu!,,uttal [garsång]
166,frère,substantiv,m,bror,Tu as des frères ?,Har du bröder?,,des = plural av un/une (några) – sista pusselbiten i artikelsystemet
167,sœur,substantiv,f,syster,Tu as des frères et sœurs ?,Har du syskon?,,hela frasen = franskans har du syskon; uttal [sör]
168,beau / belle,adjektiv,,"vacker, fin","La France, c'est un beau pays.",Frankrike är ett vackert land.,,beau blir bel före vokal: un bel homme
169,jeune,adjektiv,,ung,Il est encore jeune !,Han är ung än!,,
170,vieux / vieille,adjektiv,,gammal,Je ne suis pas vieux !,Jag är inte gammal!,,vieille = feminin [vjäj]
171,seul,adjektiv,,ensam; själv,J'apprends ça tout seul.,Jag lär mig det här helt själv.,,tout seul = helt själv
172,premier / première,adjektiv,,första,C'est la première fois.,Det är första gången.,,
173,dernier / dernière,adjektiv,,"sista, senaste",Une dernière question !,En sista fråga!,,
174,prochain / prochaine,adjektiv,,nästa,À la semaine prochaine !,Vi ses nästa vecka!,,"fullbordar à-serien: à demain, à ce soir, à la semaine prochaine"
175,commencer,verb,,att börja,On commence maintenant ?,Ska vi börja nu?,,je commence [kåmangs]
176,finir,verb,,"att sluta, avsluta",C'est fini !,Det är klart/slut!,,j'ai fini = jag är klar – första fröet av dåtid (passé composé)
177,d'abord,adverb,,först,"D'abord, on mange !",Först äter vi!,,
178,ensuite,adverb,,"sedan, därefter","D'abord ça, ensuite ça.","Först det här, sen det där.",,berättarkedjan: d'abord ... ensuite ... puis
179,vite,adverb,,"snabbt, fort",Ça va trop vite !,Det går för fort!,,livräddaren när fransmän pratar; Vite ! = Skynda!
180,souvent,adverb,,ofta,On dit ça souvent en France ?,Säger man det ofta i Frankrike?,,perfekt inlärarfråga
181,ensemble,adverb,,tillsammans,On mange ensemble ce soir ?,Ska vi äta ihop ikväll?,,
182,presque,adverb,,nästan,C'est presque fini.,Det är nästan klart.,,
183,entendre,verb,,att höra,Je n'entends pas bien.,Jag hör inte så bra.,,blanda inte ihop med attendre (vänta)!
184,répéter,verb,,att upprepa,"Vous pouvez répéter, s'il vous plaît ?","Kan ni ta det en gång till, tack?",,överlevnadsfras – daglig användning
185,lire,verb,,att läsa,J'aime lire le soir.,Jag gillar att läsa på kvällen.,,"aimer + infinitiv = gilla att; je lis, tu lis"
186,livre,substantiv,m,bok,Mon livre est en suédois.,Min bok är på svenska.,,en suédois / en français = på svenska/franska; une livre = ett halvkilo!
187,table,substantiv,f,bord,"Une table pour trois, s'il vous plaît.","Ett bord för tre, tack.",,gratisord! À table ! = Maten är klar!
188,boire,verb,,att dricka,Qu'est-ce que tu veux boire ?,Vad vill du dricka?,,"je bois, tu bois, vous buvez"
189,dormir,verb,,att sova,Kalle dort maintenant.,Kalle sover nu.,,"je dors, il dort; Il dort ! – förälderns favoritmening"
190,sortir,verb,,att gå ut,On sort ce soir ?,Ska vi gå ut ikväll?,,"je sors, on sort"
191,jouer,verb,,"att spela, leka",Je joue avec Kalle.,Jag leker med Kalle.,,jouer = både spela och leka
192,passer,verb,,att tillbringa; passera,On passe une semaine à Paris.,Vi tillbringar en vecka i Paris.,,je passe; Ça passe vite ! = Det går fort!
193,acheter,verb,,att köpa,J'achète une baguette pour ce soir.,Jag köper en baguette till ikväll.,baguette (f) = baguette – gratisord!,j'achète
194,payer,verb,,att betala,"Je peux payer, s'il vous plaît ?","Kan jag få betala, tack?",,"L'addition, s'il vous plaît ! = Notan, tack! (addition = gratisord)"
195,coûter,verb,,att kosta,Ça coûte combien ?,Vad kostar det?,euro = euro – gratisord!,"siffror 11–20: onze, douze, treize, quatorze, quinze, seize, dix-sept, dix-huit, dix-neuf, vingt"
196,argent,substantiv,m,pengar,Je n'ai pas d'argent sur moi.,Jag har inga pengar på mig.,,pas de blir pas d' före vokal; argent = även silver
197,prix,substantiv,m,pris,C'est un bon prix.,Det är ett bra pris.,,x tyst: [pri]; även pris man vinner
198,voyage,substantiv,m,resa,Bon voyage !,Trevlig resa!,,gratispoäng – den kunde du redan
199,aider,verb,,att hjälpa,Vous pouvez m'aider ?,Kan ni hjälpa mig?,,me blir m' före vokal; överlevnadsfras
200,oublier,verb,,att glömma,Un champion de mémoire n'oublie jamais !,En minnesmästare glömmer aldrig!,champion = mästare – gratisord!,din titel: champion du monde de mémoire
201,au revoir,uttryck,,hejdå,"Au revoir, et merci pour tout !","Hejdå, och tack för allt!",,ordagrant till åter-seendet: re + voir
202,salut,interjektion,,hej; hejdå (informellt),Salut ! Ça va ?,Tjena! Läget?,,funkar åt båda hållen bland vänner; bonsoir = god kväll
203,pardon,interjektion,,ursäkta,"Pardon, vous pouvez répéter ?","Ursäkta, kan ni ta det igen?",,även i folkmassa; excusez-moi funkar också
204,désolé / désolée,adjektiv,,ledsen; förlåt,"Désolé, je ne comprends pas.","Förlåt, jag förstår inte.",,je suis désolé = jag är ledsen
205,ce / cette / ces,pronomen,,"den här, det här, de här","Cette semaine, on parle français !",Den här veckan pratar vi franska!,,"ce (m), cette (f), ces (pl); ce soir/ce matin kan du redan"
206,hier,adverb,,igår,"C'était super, hier !",Det var toppen igår!,"c'était = det var – dåtidens c'est, lär som block",
207,année,substantiv,f,år,Bonne année !,Gott nytt år!,,"an räknar (j'ai 30 ans), année beskriver (cette année = i år)"
208,tard,adverb,,sent,"Il est tard, on va dormir.","Det är sent, vi ska sova.",tôt = tidigt,trop tard ! = för sent!
209,chaud,adjektiv,,varm,Il fait chaud aujourd'hui !,Det är varmt idag!,,väder: il fait + adjektiv – franskans vädermaskin
